ORDERDATE;SALES;CURRENCY;PRODUCT;CUSTOMERNAME;COUNTRY
2019-02-16;5770,29;CHF;Product B;Customer 69;Switzerland
2019-03-22;5373,28;CHF;Product B;Customer 22;Switzerland
2019-04-03;5066,16;GBP;Product B;Customer 46;United Kingdom
2019-08-01;8964,44;SGD;Product B;Customer 11;Signapore
2019-10-02;5671,35;CAD;Product B;Customer 3;Canada
2019-09-24;2251,55;EUR;Product B;Customer 51;Germany
2019-05-04;36844,06;DKK;Product B;Customer 17;Denmark
2019-10-17;4688,5;SGD;Product B;Customer 40;Signapore
2019-10-09;7754,34;CHF;Product B;Customer 49;Switzerland
2019-05-10;6032,76;CAD;Product B;Customer 20;Canada
2019-07-12;4452,14;CHF;Product D;Customer 12;Switzerland
2019-12-15;4444,3;CAD;Product D;Customer 9;Canada
2019-10-28;3254,72;USD;Product D;Customer 11;United States
2019-01-28;4423,53;SGD;Product D;Customer 21;Signapore
2019-02-05;5907,5;USD;Product D;Customer 83;United States
2019-03-05;4064;CHF;Product D;Customer 5;Switzerland
2019-09-07;535761,7;JPY;Product D;Customer 87;Japan
2019-12-02;2950,34;CAD;Product D;Customer 40;Canada
2019-05-22;19418;DKK;Product D;Customer 88;Denmark
2019-08-23;3220,45;EUR;Product D;Customer 24;Germany
2019-03-03;2413,26;USD;Product D;Customer 33;United States
2019-10-19;2734,95;CHF;Product D;Customer 31;Switzerland
2019-08-18;4684,8;USD;Product D;Customer 24;United States
2019-11-17;2800,6;EUR;Product D;Customer 49;Germany
2019-05-05;37425;CNY;Product D;Customer 37;China
2019-11-25;3596,83;GBP;Product D;Customer 8;United Kingdom
2019-11-14;22095,94;DKK;Product D;Customer 39;Denmark
2019-12-30;5413,15;AUD;Product D;Customer 40;Australia
2019-09-15;5154,03;SGD;Product D;Customer 41;Signapore
2019-03-24;3445,65;GBP;Product D;Customer 78;United Kingdom
2019-03-09;1516,62;USD;Product D;Customer 85;United States
2019-03-11;2323,15;CHF;Product D;Customer 3;Switzerland
2019-07-13;7275,94;GBP;Product D;Customer 42;United Kingdom
2019-07-08;17966,57;CNY;Product D;Customer 24;China
2019-06-16;34680,63;DKK;Product D;Customer 43;Denmark
2019-08-01;6585,2;CAD;Product D;Customer 19;Canada
2019-07-12;2778,03;CAD;Product D;Customer 12;Canada
2019-06-08;16820,57;CNY;Product D;Customer 9;China
2019-11-15;14434,88;DKK;Product D;Customer 26;Denmark
2019-06-20;224826,6;JPY;Product D;Customer 21;Japan
2019-10-10;10916,25;DKK;Product D;Customer 83;Denmark
2019-01-19;3245,7;AUD;Product D;Customer 5;Australia
2019-07-07;13263;DKK;Product D;Customer 87;Denmark
2019-04-06;185361,7;JPY;Product D;Customer 40;Japan
2019-04-16;3409,75;SGD;Product D;Customer 88;Signapore
2019-06-10;19083;DKK;Product D;Customer 24;Denmark
2019-01-07;1423,29;USD;Product D;Customer 33;United States
2019-06-14;9400,75;DKK;Product D;Customer 31;Denmark
2019-09-18;1573,51;CAD;Product D;Customer 24;Canada
2019-09-25;159654,26;JPY;Product D;Customer 49;Japan
2019-09-23;11124;CNY;Product D;Customer 37;China
2019-08-10;9612;CNY;Product D;Customer 8;China
2019-11-07;1795,24;USD;Product D;Customer 39;United States
2019-03-15;1105,25;USD;Product D;Customer 40;United States
2019-01-10;14780,5;DKK;Product D;Customer 41;Denmark
2019-02-05;3370,88;SGD;Product D;Customer 78;Signapore
2019-01-15;1237,95;USD;Product D;Customer 11;United States
2019-01-17;11378,71;CNY;Product D;Customer 3;China
2019-07-16;2720,83;EUR;Product D;Customer 42;Germany
2019-10-04;1222,92;CHF;Product D;Customer 5;Switzerland
2019-07-15;6941,67;SGD;Product D;Customer 43;Signapore
2019-11-22;1293,75;USD;Product D;Customer 19;United States
2019-05-15;33956,75;DKK;Product B;Customer 78;Denmark
2019-03-24;4329,18;AUD;Product B;Customer 47;Australia
2019-09-21;465978,72;JPY;Product B;Customer 2;Japan
2019-06-08;4605,26;GBP;Product B;Customer 43;United Kingdom
2019-02-08;5697,9;CHF;Product B;Customer 79;Switzerland
2019-04-17;3909,64;GBP;Product B;Customer 14;United Kingdom
2019-03-10;4685,9;EUR;Product B;Customer 8;Germany
2019-03-22;3942,93;CHF;Product B;Customer 41;Switzerland
2019-12-08;5600;SGD;Product B;Customer 75;Signapore
2019-08-18;6327,27;AUD;Product B;Customer 24;Australia
2019-05-14;4161,38;USD;Product B;Customer 56;United States
2019-05-01;1975,32;GBP;Product B;Customer 84;United Kingdom
2019-03-05;2657,39;GBP;Product B;Customer 23;United Kingdom
2019-10-06;37118,57;CNY;Product B;Customer 71;China
2019-07-11;3617,39;SGD;Product B;Customer 85;Signapore
2019-10-26;18355;DKK;Product B;Customer 66;Denmark
2019-05-23;4756,44;SGD;Product B;Customer 86;Signapore
2019-09-02;4117,18;AUD;Product B;Customer 24;Australia
2019-06-26;6067,24;CAD;Product B;Customer 22;Canada
2019-07-07;6553,03;CAD;Product B;Customer 46;Canada
2019-04-27;5042,17;EUR;Product B;Customer 2;Germany
2019-09-18;293478,72;JPY;Product B;Customer 4;Japan
2019-12-20;2013,56;SGD;Product B;Customer 24;Signapore
2019-07-08;44050,88;DKK;Product B;Customer 62;Denmark
2019-11-12;4485,29;EUR;Product B;Customer 20;Germany
2019-01-26;37710;CNY;Product E;Customer 87;China
2019-06-03;735757,45;JPY;Product E;Customer 20;Japan
2019-06-03;295921,28;JPY;Product E;Customer 89;Japan
2019-06-18;4524,14;EUR;Product E;Customer 51;Germany
2019-06-13;694834,04;JPY;Product E;Customer 17;Japan
2019-12-05;36023,25;DKK;Product E;Customer 38;Denmark
2019-09-01;40566,75;DKK;Product E;Customer 52;Denmark
2019-03-30;4728,19;GBP;Product E;Customer 53;United Kingdom
2019-04-20;53457;CNY;Product E;Customer 67;China
2019-05-16;4503,54;GBP;Product E;Customer 45;United Kingdom
2019-04-09;6954,08;USD;Product E;Customer 56;United States
2019-07-15;7555,83;CHF;Product E;Customer 62;Switzerland
2019-04-10;9250,65;AUD;Product E;Customer 24;Australia
2019-01-20;48028,57;CNY;Product E;Customer 42;China
2019-11-08;35924,06;DKK;Product E;Customer 86;Denmark
2019-10-09;40548,86;CNY;Product E;Customer 90;China
2019-12-19;6833,31;CHF;Product E;Customer 30;Switzerland
2019-07-15;26458,07;CNY;Product E;Customer 60;China
2019-04-20;2596,99;CHF;Product E;Customer 49;Switzerland
2019-10-15;4428,97;GBP;Product E;Customer 91;United Kingdom
2019-09-19;24258;DKK;Product E;Customer 50;Denmark
2019-10-06;1492,04;CHF;Product E;Customer 61;Switzerland
2019-02-12;145132,98;JPY;Product E;Customer 24;Japan
2019-06-21;5936,75;AUD;Product E;Customer 2;Australia
2019-12-05;3751,86;EUR;Product E;Customer 71;Germany
2019-01-16;7154,17;SGD;Product D;Customer 41;Signapore
2019-05-22;37931,25;DKK;Product D;Customer 78;Denmark
2019-03-12;2644,44;CHF;Product D;Customer 85;Switzerland
2019-01-11;7570,99;AUD;Product D;Customer 83;Australia
2019-07-16;4075,98;GBP;Product D;Customer 5;United Kingdom
2019-10-14;4741,62;CAD;Product D;Customer 87;Canada
2019-05-03;10209,19;CAD;Product D;Customer 40;Canada
2019-03-24;4424,79;AUD;Product D;Customer 88;Australia
2019-08-30;42075;CNY;Product D;Customer 75;China
2019-11-30;42621,43;CNY;Product D;Customer 26;China
2019-03-14;26520;CNY;Product D;Customer 31;China
2019-07-20;7597,3;USD;Product D;Customer 84;United States
2019-10-22;26204,29;CNY;Product D;Customer 37;China
2019-04-14;8274,93;AUD;Product D;Customer 66;Australia
2019-08-15;10295,77;AUD;Product D;Customer 23;Australia
2019-10-30;7480;CHF;Product D;Customer 40;Switzerland
2019-02-24;4524,67;SGD;Product D;Customer 46;Signapore
2019-10-26;54642,86;CNY;Product D;Customer 68;China
2019-07-26;4055,01;EUR;Product D;Customer 4;Germany
2019-02-07;7296,69;CAD;Product D;Customer 24;Canada
2019-06-15;19559,44;SGD;Product D;Customer 62;Signapore
2019-08-14;37740;CNY;Product D;Customer 21;China
2019-06-23;2898,91;CHF;Product B;Customer 67;Switzerland
2019-05-25;4205,86;CAD;Product B;Customer 68;Canada
2019-11-25;3806,88;USD;Product B;Customer 40;United States
2019-11-10;3017,1;AUD;Product B;Customer 42;Australia
2019-06-28;24035;CNY;Product B;Customer 55;China
2019-08-06;1706,49;CAD;Product B;Customer 64;Canada
2019-09-24;173004,26;JPY;Product B;Customer 8;Japan
2019-12-29;25554,38;DKK;Product B;Customer 41;Denmark
2019-08-03;27472,5;CNY;Product B;Customer 24;China
2019-02-02;1339,8;USD;Product B;Customer 24;United States
2019-06-20;323400;JPY;Product B;Customer 70;Japan
2019-01-04;21252;DKK;Product B;Customer 61;Denmark
2019-01-08;2608,64;CAD;Product B;Customer 23;Canada
2019-06-09;17605,5;CNY;Product B;Customer 71;China
2019-08-24;3560,73;CAD;Product B;Customer 85;Canada
2019-06-24;5105,86;AUD;Product B;Customer 70;Australia
2019-01-26;27060;CNY;Product B;Customer 73;China
2019-03-22;2545,28;SGD;Product B;Customer 69;Signapore
2019-02-14;2690,72;CHF;Product B;Customer 22;Switzerland
2019-12-29;4161,7;AUD;Product B;Customer 1;Australia
2019-12-25;25712,5;CNY;Product B;Customer 11;China
2019-01-28;392185,11;JPY;Product B;Customer 74;Japan
2019-11-14;2838,59;CAD;Product B;Customer 17;Canada
2019-10-19;3594,24;CHF;Product B;Customer 38;Switzerland
2019-05-29;479693,62;JPY;Product B;Customer 84;Japan
2019-05-28;2577,38;GBP;Product B;Customer 20;United Kingdom
2019-06-15;27704,38;DKK;Product B;Customer 46;Denmark
2019-11-12;5695,82;SGD;Product B;Customer 68;Signapore
2019-02-25;37676,57;CNY;Product B;Customer 52;China
2019-04-02;3918,52;CHF;Product B;Customer 43;Switzerland
2019-08-06;43896;CNY;Product B;Customer 79;China
2019-09-01;3685,2;GBP;Product B;Customer 44;United Kingdom
2019-04-13;4628,28;AUD;Product B;Customer 8;Australia
2019-10-01;10028,78;CAD;Product B;Customer 41;Canada
2019-03-29;8692,76;CAD;Product B;Customer 75;Canada
2019-04-06;4840,87;USD;Product B;Customer 24;United States
2019-12-15;3355,24;EUR;Product B;Customer 56;Germany
2019-10-15;7783,55;AUD;Product B;Customer 45;Australia
2019-04-02;4459,62;USD;Product B;Customer 23;United States
2019-08-16;44310;CNY;Product B;Customer 71;China
2019-10-02;3475,97;CHF;Product B;Customer 85;Switzerland
2019-12-19;4752;CAD;Product B;Customer 70;Canada
2019-10-13;5896,09;GBP;Product B;Customer 86;United Kingdom
2019-04-16;366817,02;JPY;Product B;Customer 69;Japan
2019-04-29;3218,97;EUR;Product B;Customer 22;Germany
2019-04-10;6088,13;DKK;Product B;Customer 46;Denmark
2019-03-22;2926,61;CHF;Product B;Customer 11;Switzerland
2019-01-17;2425,88;SGD;Product B;Customer 3;Signapore
2019-11-07;447642,55;JPY;Product B;Customer 91;Japan
2019-09-19;31091,14;CNY;Product B;Customer 17;China
2019-04-06;1261,81;EUR;Product B;Customer 40;Germany
2019-12-15;10097,58;AUD;Product B;Customer 49;Australia
2019-10-27;3961;EUR;Product B;Customer 20;Germany
2019-12-14;3457,92;USD;Product B;Customer 24;United States
2019-06-06;7381,16;USD;Product B;Customer 28;United States
2019-09-20;760308,51;JPY;Product B;Customer 75;Japan
2019-08-13;8247,96;SGD;Product B;Customer 74;Signapore
2019-03-01;10015,37;AUD;Product B;Customer 61;Australia
2019-11-05;4338,75;EUR;Product B;Customer 27;Germany
2019-01-19;5165,63;AUD;Product B;Customer 71;Australia
2019-01-13;52722,57;CNY;Product B;Customer 82;China
2019-07-27;7122,38;SGD;Product B;Customer 48;Signapore
2019-10-30;5559,24;GBP;Product B;Customer 65;United Kingdom
2019-07-09;11899,49;AUD;Product B;Customer 83;Australia
2019-08-28;5748,43;GBP;Product B;Customer 73;United Kingdom
2019-08-02;6549,2;USD;Product B;Customer 24;United States
2019-01-29;4486,54;GBP;Product B;Customer 66;United Kingdom
2019-09-25;975425,53;JPY;Product B;Customer 40;Japan
2019-04-23;4376,53;CAD;Product B;Customer 40;Canada
2019-05-14;4554,94;USD;Product B;Customer 1;United States
2019-03-05;5316,81;CAD;Product B;Customer 16;Canada
2019-06-13;4548,24;GBP;Product B;Customer 79;United Kingdom
2019-01-30;10010,35;SGD;Product B;Customer 12;Signapore
2019-06-22;793695,74;JPY;Product B;Customer 63;Japan
2019-11-20;6719,54;USD;Product B;Customer 75;United States
2019-11-06;17342,86;CNY;Product B;Customer 24;China
2019-06-06;2049,02;GBP;Product B;Customer 40;United Kingdom
2019-02-17;2037,04;CHF;Product B;Customer 40;Switzerland
2019-07-28;41955,81;DKK;Product B;Customer 24;Denmark
2019-10-09;7386,17;SGD;Product B;Customer 15;Signapore
2019-07-23;24214,29;CNY;Product D;Customer 41;China
2019-09-25;2264,79;AUD;Product D;Customer 78;Australia
2019-01-15;3058,05;CAD;Product D;Customer 85;Canada
2019-03-08;2078,67;SGD;Product D;Customer 83;Signapore
2019-01-18;2610,75;SGD;Product D;Customer 5;Signapore
2019-08-14;1177,37;GBP;Product D;Customer 87;United Kingdom
2019-09-20;2151,57;CHF;Product D;Customer 40;Switzerland
2019-12-02;3460,92;SGD;Product D;Customer 88;Signapore
2019-09-05;2220,43;CAD;Product D;Customer 75;Canada
2019-01-29;8263,5;DKK;Product D;Customer 26;Denmark
2019-11-19;1924,05;CAD;Product D;Customer 31;Canada
2019-02-27;14984,06;DKK;Product D;Customer 84;Denmark
2019-02-08;9837,5;DKK;Product D;Customer 37;Denmark
2019-01-29;1600,93;CHF;Product D;Customer 66;Switzerland
2019-07-21;14099;DKK;Product D;Customer 82;Denmark
2019-01-25;2583,8;AUD;Product D;Customer 40;Australia
2019-12-21;4509,15;AUD;Product D;Customer 78;Australia
2019-10-03;2276,4;USD;Product D;Customer 68;United States
2019-10-12;7659,31;EUR;Product D;Customer 4;Germany
2019-07-03;1331,1;USD;Product D;Customer 24;United States
2019-09-17;3051,3;USD;Product D;Customer 62;United States
2019-07-04;16346,57;CNY;Product D;Customer 21;China
2019-03-16;2970,56;GBP;Product C;Customer 24;United Kingdom
2019-05-07;669781,91;JPY;Product C;Customer 75;Japan
2019-07-11;38661;CNY;Product C;Customer 61;China
2019-04-12;5158,74;EUR;Product C;Customer 27;Germany
2019-03-01;8182;SGD;Product C;Customer 50;Signapore
2019-11-17;5540,87;CHF;Product C;Customer 82;Switzerland
2019-09-24;383845,74;JPY;Product C;Customer 48;Japan
2019-11-30;4959,09;EUR;Product C;Customer 65;Germany
2019-11-22;3486,41;CHF;Product C;Customer 40;Switzerland
2019-07-06;13499,75;DKK;Product C;Customer 24;Denmark
2019-07-02;2913,74;EUR;Product C;Customer 66;Germany
2019-04-06;7173,94;AUD;Product C;Customer 40;Australia
2019-03-04;8131,61;AUD;Product C;Customer 19;Australia
2019-07-12;28305,38;DKK;Product C;Customer 1;Denmark
2019-02-25;30100,5;DKK;Product C;Customer 16;Denmark
2019-07-12;24405,57;CNY;Product C;Customer 32;China
2019-07-28;7730,25;DKK;Product C;Customer 12;Denmark
2019-08-28;8076,19;SGD;Product C;Customer 25;Signapore
2019-12-14;7254,83;SGD;Product C;Customer 75;Signapore
2019-07-20;1025,92;AUD;Product C;Customer 24;Australia
2019-06-30;28207,14;CNY;Product C;Customer 43;China
2019-12-08;5338,88;SGD;Product C;Customer 24;Signapore
2019-09-23;39272;CNY;Product C;Customer 24;China
2019-12-24;5246,64;SGD;Product C;Customer 15;Signapore
2019-04-30;27014,29;CNY;Product D;Customer 73;China
2019-08-15;24123;DKK;Product D;Customer 78;Denmark
2019-12-23;471472,34;JPY;Product D;Customer 85;Japan
2019-09-05;4950,33;USD;Product D;Customer 83;United States
2019-08-20;4299,7;USD;Product D;Customer 5;United States
2019-05-22;4492,83;USD;Product D;Customer 87;United States
2019-02-21;3115,49;AUD;Product D;Customer 40;Australia
2019-08-16;29018;DKK;Product D;Customer 88;Denmark
2019-01-18;2968,81;CHF;Product D;Customer 75;Switzerland
2019-07-13;5076,38;AUD;Product D;Customer 26;Australia
2019-02-01;746570,21;JPY;Product D;Customer 31;Japan
2019-08-24;6154,18;USD;Product D;Customer 65;United States
2019-04-12;33934,29;CNY;Product D;Customer 37;China
2019-06-11;5384,39;AUD;Product D;Customer 66;Australia
2019-09-09;2104,14;EUR;Product D;Customer 39;Germany
2019-06-20;6568,56;SGD;Product D;Customer 40;Signapore
2019-01-06;16941,22;CAD;Product D;Customer 41;Canada
2019-01-22;16172,5;CNY;Product D;Customer 78;China
2019-03-04;28058,57;CNY;Product D;Customer 68;China
2019-06-19;25930,14;CNY;Product D;Customer 3;China
2019-06-07;3617,3;EUR;Product D;Customer 4;Germany
2019-07-28;6664,32;CAD;Product D;Customer 24;Canada
2019-12-01;3068,69;USD;Product D;Customer 40;United States
2019-01-05;1091,17;SGD;Product D;Customer 66;Signapore
2019-01-16;4608,33;CHF;Product D;Customer 21;Switzerland
2019-08-15;7437,38;DKK;Product C;Customer 18;Denmark
2019-03-30;3090,15;USD;Product C;Customer 63;United States
2019-09-08;2588,76;CHF;Product C;Customer 26;Switzerland
2019-07-05;4016,25;AUD;Product C;Customer 6;Australia
2019-09-18;19299,43;CNY;Product C;Customer 61;China
2019-08-04;2978,51;CAD;Product C;Customer 27;Canada
2019-06-03;3838,49;CAD;Product C;Customer 50;Canada
2019-03-29;2647,04;USD;Product C;Customer 82;United States
2019-09-05;2734,53;EUR;Product C;Customer 31;Germany
2019-05-11;275098,94;JPY;Product C;Customer 65;Japan
2019-05-27;1989,17;CHF;Product C;Customer 66;Switzerland
2019-10-02;1543,89;CHF;Product C;Customer 40;Switzerland
2019-09-04;11623,13;DKK;Product C;Customer 24;Denmark
2019-02-18;10547,14;CNY;Product C;Customer 66;China
2019-03-19;1493,1;EUR;Product C;Customer 40;Germany
2019-11-22;10463,56;DKK;Product C;Customer 19;Denmark
2019-01-13;1293,95;EUR;Product C;Customer 38;Germany
2019-12-03;2963,08;CAD;Product C;Customer 16;Canada
2019-12-24;2531,8;AUD;Product C;Customer 32;Australia
2019-12-28;1983,66;CHF;Product C;Customer 41;Switzerland
2019-04-23;222012,77;JPY;Product C;Customer 25;Japan
2019-04-15;727074,47;JPY;Product C;Customer 11;Japan
2019-01-13;3434,58;CAD;Product C;Customer 40;Canada
2019-09-01;2130,92;USD;Product C;Customer 43;United States
2019-10-29;1466,98;EUR;Product C;Customer 5;Germany
2019-11-27;2385,92;AUD;Product C;Customer 43;Australia
2019-02-01;4103,56;AUD;Product C;Customer 24;Australia
2019-05-11;935,18;USD;Product C;Customer 15;United States
2019-06-21;3073,26;USD;Product E;Customer 87;United States
2019-09-18;2933,08;AUD;Product E;Customer 11;Australia
2019-01-08;3394,23;USD;Product E;Customer 24;United States
2019-02-28;2370;CHF;Product E;Customer 4;Switzerland
2019-05-08;2098,82;AUD;Product E;Customer 6;Australia
2019-09-01;5194,59;CAD;Product E;Customer 45;Canada
2019-02-17;4374,92;CHF;Product E;Customer 11;Switzerland
2019-12-22;1573,03;EUR;Product E;Customer 58;Germany
2019-01-17;19062;CNY;Product E;Customer 62;China
2019-05-29;3842,72;CAD;Product E;Customer 14;Canada
2019-04-13;2491,06;GBP;Product E;Customer 15;United Kingdom
2019-01-24;3008,26;CAD;Product E;Customer 86;Canada
2019-03-11;2915,14;AUD;Product E;Customer 76;Australia
2019-11-03;13970,81;DKK;Product E;Customer 48;Denmark
2019-06-20;331535,11;JPY;Product E;Customer 19;Japan
2019-04-26;3765,12;GBP;Product E;Customer 49;United Kingdom
2019-07-21;17566,88;DKK;Product E;Customer 36;Denmark
2019-08-20;2768,24;GBP;Product E;Customer 89;United Kingdom
2019-09-30;309504,26;JPY;Product E;Customer 29;Japan
2019-06-04;1236,35;GBP;Product E;Customer 24;United Kingdom
2019-12-28;18670,86;CNY;Product E;Customer 2;China
2019-04-09;339708,51;JPY;Product E;Customer 13;Japan
2019-03-25;2003,51;CAD;Product E;Customer 71;Canada
2019-10-30;218641,49;JPY;Product A;Customer 1;Japan
2019-11-05;2674,9;USD;Product A;Customer 11;United States
2019-04-03;1597,76;EUR;Product A;Customer 3;Germany
2019-05-30;9313,13;DKK;Product A;Customer 4;Denmark
2019-07-14;1702,49;GBP;Product A;Customer 5;United Kingdom
2019-12-22;2605,81;CHF;Product A;Customer 6;Switzerland
2019-03-18;1486,11;CHF;Product A;Customer 7;Switzerland
2019-10-13;222706,38;JPY;Product A;Customer 8;Japan
2019-07-23;2700,42;SGD;Product A;Customer 9;Signapore
2019-04-05;1839,63;CHF;Product A;Customer 45;Switzerland
2019-04-21;2291,84;CAD;Product A;Customer 11;Canada
2019-12-28;1805,01;AUD;Product A;Customer 46;Australia
2019-02-07;188746,81;JPY;Product A;Customer 13;Japan
2019-10-26;2699,32;CAD;Product A;Customer 14;Canada
2019-04-04;2178,89;CHF;Product A;Customer 15;Switzerland
2019-06-22;104382,98;JPY;Product A;Customer 16;Japan
2019-08-26;2153,78;SGD;Product A;Customer 47;Signapore
2019-07-27;11069,13;DKK;Product A;Customer 48;Denmark
2019-09-22;3117,46;AUD;Product A;Customer 19;Australia
2019-08-17;7116,27;CAD;Product A;Customer 1;Canada
2019-10-12;1468,35;GBP;Product A;Customer 36;United Kingdom
2019-06-23;7140,06;DKK;Product A;Customer 6;Denmark
2019-10-16;1085,74;CHF;Product A;Customer 29;Switzerland
2019-09-20;49864,29;CNY;Product A;Customer 38;China
2019-10-04;2641,9;EUR;Product A;Customer 10;Germany
2019-04-15;1898,69;EUR;Product A;Customer 24;Germany
2019-06-14;26952,71;CNY;Product D;Customer 73;China
2019-04-03;4374,47;EUR;Product D;Customer 78;Germany
2019-05-17;40521,63;DKK;Product D;Customer 11;Denmark
2019-05-22;56831,86;CNY;Product D;Customer 21;China
2019-05-21;26441,38;DKK;Product D;Customer 83;Denmark
2019-04-10;9742,05;CAD;Product D;Customer 5;Canada
2019-11-08;3196,93;CHF;Product D;Customer 87;Switzerland
2019-12-10;2399,79;GBP;Product D;Customer 40;United Kingdom
2019-04-06;26252,29;CNY;Product D;Customer 88;China
2019-11-07;10406,11;SGD;Product D;Customer 24;Signapore
2019-07-22;1014308,51;JPY;Product D;Customer 26;Japan
2019-05-18;34868,88;DKK;Product D;Customer 31;Denmark
2019-10-04;4685,31;GBP;Product D;Customer 24;United Kingdom
2019-09-20;3726;USD;Product D;Customer 84;United States
2019-12-18;3840,52;EUR;Product D;Customer 37;Germany
2019-05-07;11178,84;CAD;Product D;Customer 8;Canada
2019-07-24;4968,89;SGD;Product D;Customer 39;Signapore
2019-10-02;3881,25;USD;Product D;Customer 40;United States
2019-03-28;8165,41;AUD;Product D;Customer 41;Australia
2019-11-29;1264,08;USD;Product D;Customer 78;United States
2019-04-29;4458,61;CHF;Product D;Customer 11;Switzerland
2019-03-19;4131,67;CHF;Product D;Customer 3;Switzerland
2019-02-09;4212,89;SGD;Product D;Customer 4;Signapore
2019-06-29;7077;CNY;Product D;Customer 24;China
2019-08-22;2820,64;SGD;Product D;Customer 40;Signapore
2019-04-03;4278,54;GBP;Product D;Customer 40;United Kingdom
2019-06-21;4447,1;AUD;Product B;Customer 46;Australia
2019-03-28;5161,2;USD;Product B;Customer 47;United States
2019-01-29;3747,21;EUR;Product B;Customer 2;Germany
2019-07-03;3528,36;USD;Product B;Customer 43;United States
2019-08-07;4427,5;SGD;Product B;Customer 79;Signapore
2019-09-28;5577;CHF;Product B;Customer 14;Switzerland
2019-07-21;3884,76;USD;Product B;Customer 8;United States
2019-03-14;4965,84;USD;Product B;Customer 41;United States
2019-08-23;443604,26;JPY;Product B;Customer 75;Japan
2019-01-01;35074,29;CNY;Product B;Customer 24;China
2019-04-10;4488;SGD;Product B;Customer 56;Signapore
2019-05-01;6345,78;CHF;Product B;Customer 84;Switzerland
2019-12-18;4076,41;GBP;Product B;Customer 23;United Kingdom
2019-07-04;17655;DKK;Product B;Customer 71;Denmark
2019-03-26;3727,86;EUR;Product B;Customer 85;Germany
2019-08-23;31581;DKK;Product B;Customer 70;Denmark
2019-04-09;4356;CAD;Product B;Customer 86;Canada
2019-02-24;7434,76;AUD;Product B;Customer 24;Australia
2019-08-02;2640;CHF;Product B;Customer 22;Switzerland
2019-09-23;10546,25;DKK;Product B;Customer 46;Denmark
2019-01-24;1842,25;AUD;Product B;Customer 2;Australia
2019-12-13;8303,51;CAD;Product B;Customer 91;Canada
2019-01-29;7221,41;AUD;Product B;Customer 24;Australia
2019-03-27;679378,72;JPY;Product B;Customer 62;Japan
2019-05-13;10399,46;CAD;Product B;Customer 20;Canada
2019-07-29;3159;AUD;Product D;Customer 18;Australia
2019-08-13;1999,91;GBP;Product D;Customer 25;United Kingdom
2019-06-06;2201;GBP;Product D;Customer 26;United Kingdom
2019-11-02;34661;DKK;Product D;Customer 21;Denmark
2019-08-02;3374,38;GBP;Product D;Customer 27;United Kingdom
2019-04-29;4498,77;CAD;Product D;Customer 28;Canada
2019-11-02;7876,37;AUD;Product D;Customer 29;Australia
2019-01-28;350909,57;JPY;Product D;Customer 30;Japan
2019-08-09;2609,88;USD;Product D;Customer 88;United States
2019-10-21;3336,29;USD;Product D;Customer 32;United States
2019-04-24;39357,5;CNY;Product D;Customer 33;China
2019-09-13;3478,33;SGD;Product D;Customer 34;Signapore
2019-08-13;4896,67;SGD;Product D;Customer 24;Signapore
2019-12-30;27543,75;DKK;Product D;Customer 62;Denmark
2019-05-01;317387,23;JPY;Product D;Customer 21;Japan
2019-10-02;7220,06;AUD;Product D;Customer 37;Australia
2019-04-08;7721,34;CAD;Product D;Customer 38;Canada
2019-11-22;6408,06;SGD;Product D;Customer 39;Signapore
2019-06-05;5015;CAD;Product D;Customer 40;Canada
2019-03-18;3038,56;EUR;Product D;Customer 41;Germany
2019-01-03;3937;AUD;Product D;Customer 9;Australia
2019-08-29;4814,4;USD;Product D;Customer 11;United States
2019-03-15;22327,06;DKK;Product D;Customer 40;Denmark
2019-10-16;3949,45;EUR;Product D;Customer 42;Germany
2019-05-01;4319,76;USD;Product D;Customer 5;United States
2019-10-30;1248,28;EUR;Product D;Customer 43;Germany
2019-02-25;1224,17;SGD;Product D;Customer 57;Signapore
2019-06-29;213946,81;JPY;Product D;Customer 18;Japan
2019-12-10;1801,24;USD;Product D;Customer 9;United States
2019-10-15;21188,75;DKK;Product D;Customer 26;Denmark
2019-10-29;10171,43;CNY;Product D;Customer 21;China
2019-11-28;10707,86;CNY;Product D;Customer 27;China
2019-06-04;3109,33;CHF;Product D;Customer 28;Switzerland
2019-09-27;160017,02;JPY;Product D;Customer 87;Japan
2019-04-05;2090,65;GBP;Product D;Customer 30;United Kingdom
2019-10-28;1072,55;EUR;Product D;Customer 88;Germany
2019-08-26;1487,31;GBP;Product D;Customer 32;United Kingdom
2019-02-01;2563,39;AUD;Product D;Customer 33;Australia
2019-05-28;2257,44;GBP;Product D;Customer 34;United Kingdom
2019-01-04;1097,76;GBP;Product D;Customer 24;United Kingdom
2019-04-26;3655,94;SGD;Product D;Customer 62;Signapore
2019-05-15;2018,56;USD;Product D;Customer 20;United States
2019-09-01;4161,31;AUD;Product D;Customer 37;Australia
2019-06-14;2636,38;AUD;Product D;Customer 38;Australia
2019-09-05;1559,04;USD;Product D;Customer 39;United States
2019-11-22;2611,39;SGD;Product D;Customer 40;Signapore
2019-10-18;1724,89;AUD;Product D;Customer 41;Australia
2019-01-19;316923,4;JPY;Product D;Customer 78;Japan
2019-05-02;234961,7;JPY;Product D;Customer 11;Japan
2019-04-24;24703;CNY;Product D;Customer 40;China
2019-02-23;7736,75;DKK;Product D;Customer 42;Denmark
